Countries	Cat	Quality_of_opportunities	Income	Future_prospects	Family_environment	Skills_environment	Inclusiveness	Quality_of_life	Penalty
Australia	Student	0.168	0.491	0.684	0.480	0.791	0.622	0.764	0.926
Austria	Student	0.036	0.409	0.683	0.346	0.636	0.567	0.661	0.988
Belgium	Student	0.051	0.359	0.561	0.453	0.588	0.451	0.689	0.951
Canada	Student	0.139	0.475	0.562	0.656	0.911	0.538	0.756	0.914
Chile	Student	0.007	0.096	0.637	0.518	0.515	0.323	0.417	0.926
Czech Republic	Student	0.000	0.144	0.620	0.320	0.542	0.355	0.562	1.000
Denmark	Student	0.036	0.502	0.493	0.497	0.747	0.580	0.758	0.938
Estonia	Student	0.007	0.327	0.520	0.471	0.692	0.537	0.547	0.914
Finland	Student	0.036	0.748	0.562	0.549	0.750	0.553	0.727	0.975
France	Student	0.161	0.625	0.785	0.593	0.533	0.435	0.631	0.988
Germany	Student	0.277	0.709	0.705	0.537	0.601	0.540	0.709	0.938
Greece	Student	0.015	0.178	0.313	0.270	0.507	0.138	0.364	0.975
Hungary	Student	0.000	0.496	0.436	0.293	0.482	0.263	0.431	1.000
Iceland	Student	0.000	0.650	0.558	0.544	0.709	0.521	0.742	0.975
Ireland	Student	0.022	0.539	0.463	0.407	0.689	0.495	0.674	0.914
Israel	Student	0.036	0.489	0.314	0.439	0.546	0.093	0.535	0.926
Italy	Student	0.139	0.699	0.814	0.534	0.416	0.324	0.500	0.938
Japan	Student	0.117	0.459	0.609	0.398	0.394	0.579	0.577	0.975
Korea	Student	0.080	0.606	0.712	0.507	0.735	0.488	0.517	0.951
Latvia	Student	0.000	0.220	0.636	0.379	0.554	0.409	0.410	0.938
Luxembourg	Student	0.000	0.420	0.281	0.496	0.591	0.716	0.699	0.988
Mexico	Student	0.007	0.156	0.333	0.500	0.209	0.122	0.281	0.950
Netherlands	Student	0.088	0.423	0.723	0.453	0.774	0.493	0.739	0.938
New Zealand	Student	0.029	0.482	0.762	0.503	0.770	0.632	0.689	0.938
Norway	Student	0.022	0.884	0.541	0.660	0.769	0.467	0.788	0.926
Poland	Student	0.015	0.290	0.473	0.350	0.535	0.438	0.494	0.975
Portugal	Student	0.036	0.589	0.840	0.613	0.517	0.400	0.479	0.963
Slovak Republic	Student	0.000	0.505	0.717	0.632	0.521	0.376	0.476	1.000
Slovenia	Student	0.007	0.679	0.713	0.580	0.518	0.439	0.607	0.950
Spain	Student	0.088	0.577	0.716	0.494	0.480	0.331	0.563	0.950
Sweden	Student	0.080	0.563	0.681	0.485	0.743	0.537	0.752	0.914
Switzerland	Student	0.058	0.866	0.524	0.536	0.598	0.700	0.762	0.975
Turkey	Student	0.007	0.056	0.442	0.124	0.373	0.263	0.314	0.975
United Kingdom	Student	0.270	0.489	0.508	0.731	0.828	0.375	0.667	0.950
United States	Student	1.000	0.399	0.381	0.450	0.875	0.411	0.746	0.903
Australia	Entrepreneurs	0.364	0.328	0.690	0.647	0.556	0.688	0.764	0.950
Austria	Entrepreneurs	0.309	0.488	0.577	0.680	0.519	0.572	0.661	1.000
Belgium	Entrepreneurs	0.228	0.357	0.582	0.453	0.474	0.465	0.689	1.000
Canada	Entrepreneurs	0.443	0.551	0.750	0.572	0.538	0.612	0.756	1.000
Chile	Entrepreneurs	0.311	0.619	0.516	0.518	0.175	0.347	0.417	1.000
Czech_Republic	Entrepreneurs	0.318	0.602	0.660	0.487	0.426	0.299	0.562	1.000
Denmark	Entrepreneurs	0.401	0.442	0.379	0.580	0.595	0.582	0.758	1.000
Estonia	Entrepreneurs	0.446	0.505	0.526	0.638	0.430	0.557	0.547	0.975
Finland	Entrepreneurs	0.367	0.469	0.582	0.549	0.586	0.532	0.727	1.000
France	Entrepreneurs	0.242	0.348	0.603	0.676	0.445	0.433	0.631	0.950
Germany	Entrepreneurs	0.267	0.624	0.607	0.620	0.627	0.589	0.709	0.900
Greece	Entrepreneurs	0.229	0.341	0.640	0.603	0.269	0.170	0.364	0.975
Hungary	Entrepreneurs	0.347	0.755	0.637	0.459	0.376	0.225	0.431	0.975
Iceland	Entrepreneurs	0.360	0.517	0.578	0.544	0.559	0.526	0.742	0.000
Ireland	Entrepreneurs	0.493	0.607	0.672	0.574	0.521	0.582	0.674	0.900
Israel	Entrepreneurs	0.367	0.420	0.418	0.439	0.548	0.221	0.535	0.900
Italy	Entrepreneurs	0.156	0.419	0.641	0.534	0.338	0.374	0.500	1.000
Japan	Entrepreneurs	0.298	0.479	0.830	0.398	0.628	0.561	0.577	0.950
Korea	Entrepreneurs	0.524	0.527	0.735	0.507	0.697	0.495	0.517	0.975
Latvia	Entrepreneurs	0.340	0.542	0.681	0.379	0.328	0.417	0.410	1.000
Luxembourg	Entrepreneurs	0.226	0.422	0.374	0.413	0.503	0.716	0.699	1.000
Mexico	Entrepreneurs	0.515	0.423	0.500	0.500	0.062	0.122	0.281	0.925
Netherlands	Entrepreneurs	0.141	0.460	0.631	0.703	0.558	0.485	0.739	1.000
New Zealand	Entrepreneurs	0.642	0.361	0.642	0.670	0.479	0.659	0.689	1.000
Norway	Entrepreneurs	0.385	0.359	0.554	0.660	0.545	0.532	0.788	1.000
Poland	Entrepreneurs	0.346	0.624	0.408	0.433	0.353	0.421	0.494	1.000
Portugal	Entrepreneurs	0.265	0.387	0.787	0.613	0.348	0.426	0.479	1.000
Slovak Republic	Entrepreneurs	0.283	0.532	0.678	0.632	0.377	0.337	0.476	1.000
Slovenia	Entrepreneurs	0.378	0.574	0.784	0.580	0.437	0.481	0.607	0.975
Spain	Entrepreneurs	0.370	0.406	0.677	0.661	0.332	0.400	0.563	1.000
Sweden	Entrepreneurs	0.356	0.374	0.630	0.652	0.617	0.604	0.752	1.000
Switzerland	Entrepreneurs	0.356	0.585	0.421	0.619	0.547	0.771	0.762	1.000
Turkey	Entrepreneurs	0.418	0.546	0.145	0.374	0.178	0.270	0.314	0.925
United Kingdom	Entrepreneurs	0.394	0.454	0.566	0.814	0.585	0.350	0.667	0.950
United States	Entrepreneurs	0.555	0.523	0.509	0.616	0.764	0.489	0.746	0.900
Australia	Workers	0.658	0.431	0.690	0.647	0.556	0.695	0.764	0.975
Austria	Workers	0.650	0.420	0.577	0.680	0.519	0.579	0.661	0.925
Belgium	Workers	0.700	0.332	0.582	0.453	0.474	0.487	0.689	0.975
Canada	Workers	0.752	0.475	0.750	0.572	0.538	0.604	0.756	0.950
Chile	Workers	0.625	0.826	0.516	0.518	0.175	0.357	0.417	0.950
Czech Republic	Workers	0.865	0.495	0.660	0.487	0.426	0.304	0.562	0.975
Denmark	Workers	0.646	0.445	0.379	0.580	0.595	0.588	0.758	0.975
Estonia	Workers	0.813	0.446	0.526	0.638	0.430	0.560	0.547	0.975
Finland	Workers	0.543	0.409	0.582	0.549	0.586	0.526	0.727	0.950
France	Workers	0.669	0.377	0.603	0.676	0.445	0.436	0.631	0.950
Germany	Workers	0.580	0.437	0.607	0.620	0.627	0.562	0.709	0.975
Greece	Workers	0.593	0.356	0.640	0.603	0.269	0.129	0.364	0.950
Hungary	Workers	0.904	0.502	0.637	0.459	0.376	0.226	0.431	1.000
Iceland	Workers	0.751	0.464	0.578	0.544	0.559	0.516	0.742	0.950
Ireland	Workers	0.772	0.464	0.672	0.574	0.521	0.587	0.674	0.975
Israel	Workers	0.603	0.466	0.418	0.439	0.548	0.207	0.535	0.975
Italy	Workers	0.448	0.318	0.641	0.534	0.338	0.333	0.500	0.950
